# OOTK-HUIM-UN-PNU Results
# Version: 1.0
# Generated: 2025-10-22T02:43:41.662444Z
# K: 100, MinProbability: 0.200000
# Total Results: 100
#
# Format: Rank | Items | Expected_Utility | Existential_Probability | Size

1 | 3 | 531.664200 | 1.000000 | 1
2 | 7 | 470.212000 | 1.000000 | 1
3 | 2, 4 | 440.324976 | 1.000000 | 2
4 | 3, 4 | 424.016650 | 0.999999 | 2
5 | 2, 4, 10 | 423.562536 | 0.999930 | 3
6 | 4, 10 | 415.456321 | 1.000000 | 2
7 | 10 | 410.100600 | 1.000000 | 1
8 | 2, 3, 4 | 408.928497 | 0.999785 | 3
9 | 4, 7 | 404.885022 | 0.999999 | 2
10 | 4, 7, 10 | 388.356394 | 0.999689 | 3
11 | 3, 4, 7 | 388.134151 | 0.999298 | 3
12 | 2, 4, 7 | 386.433508 | 0.999503 | 3
13 | 2 | 367.081400 | 1.000000 | 1
14 | 4 | 347.621400 | 1.000000 | 1
15 | 2, 4, 7, 10 | 340.466587 | 0.991414 | 4
16 | 3, 4, 7, 10 | 336.465338 | 0.991528 | 4
17 | 4, 5, 7 | 332.689088 | 0.999669 | 3
18 | 2, 3, 4, 7 | 328.822661 | 0.986863 | 4
19 | 2, 4, 5 | 310.322656 | 0.999850 | 3
20 | 2, 4, 5, 7 | 307.592923 | 0.993618 | 4
21 | 3, 4, 5, 7 | 290.415508 | 0.987548 | 4
22 | 1, 4, 7 | 288.742415 | 0.999803 | 3
23 | 4, 5, 7, 10 | 285.831671 | 0.991466 | 4
24 | 4, 5 | 277.166832 | 1.000000 | 2
25 | 1, 4, 7, 10 | 277.134304 | 0.995975 | 4
26 | 2, 3, 4, 7, 10 | 275.315708 | 0.946973 | 5
27 | 1, 3, 4, 10 | 273.678052 | 0.997125 | 4
28 | 1, 3, 4, 7 | 272.853355 | 0.991154 | 4
29 | 1, 3, 4 | 271.416513 | 0.999777 | 3
30 | 1, 4, 10 | 266.215118 | 0.999973 | 3
31 | 1, 2, 4, 7 | 263.536715 | 0.990908 | 4
32 | 1, 2, 4, 10 | 262.092085 | 0.996423 | 4
33 | 3, 4, 6 | 258.653061 | 0.998917 | 3
34 | 1, 2, 3, 4 | 253.170098 | 0.992037 | 4
35 | 2, 3, 4, 6 | 251.020034 | 0.986963 | 4
36 | 1, 2, 4 | 249.369426 | 0.999766 | 3
37 | 2, 4, 5, 7, 10 | 248.273845 | 0.950932 | 5
38 | 2, 3, 4, 5, 7 | 247.174625 | 0.940852 | 5
39 | 3, 4, 6, 7 | 241.452151 | 0.976918 | 4
40 | 1, 3, 4, 7, 10 | 240.262769 | 0.962409 | 5
41 | 1, 2, 3, 4, 10 | 239.365776 | 0.968176 | 5
42 | 1, 2, 4, 7, 10 | 235.488111 | 0.958862 | 5
43 | 2, 3, 4, 8 | 234.884450 | 0.997112 | 4
44 | 4, 6, 7 | 233.270402 | 0.998167 | 3
45 | 3, 4, 6, 10 | 233.027658 | 0.982366 | 4
46 | 2, 4, 6 | 231.355069 | 0.999253 | 3
47 | 3, 4, 5, 7, 10 | 230.241695 | 0.938820 | 5
48 | 3, 4, 9, 10 | 227.735579 | 0.994456 | 4
49 | 1, 4, 5, 7 | 227.735390 | 0.992174 | 4
50 | 2, 3, 4, 9 | 226.605327 | 0.993493 | 4
51 | 2, 4, 6, 7 | 224.883446 | 0.978971 | 4
